date,geography,geography code,Value,Age,Occupation,Highest Level of Qualification
2011,London,E12000007,41273,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
2011,South East,E12000008,25035,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
2011,South West,E12000009,13156,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
2011,Wales,W92000004,7854,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
2011,North East,E12000001,208,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,North West,E12000002,513,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,Yorkshire and The Humber,E12000003,427,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,East Midlands,E12000004,301,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,West Midlands,E12000005,492,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,East,E12000006,483,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,London,E12000007,1391,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,South East,E12000008,621,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,South West,E12000009,342,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,Wales,W92000004,155,Age 16 to 24,2. Professional occupations,Apprenticeships and other qualifications
2011,North East,E12000001,304,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,North West,E12000002,839,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,Yorkshire and The Humber,E12000003,860,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,East Midlands,E12000004,469,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,West Midlands,E12000005,684,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,East,E12000006,882,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,London,E12000007,924,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,South East,E12000008,983,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,South West,E12000009,596,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,Wales,W92000004,445,Age 16 to 24,3. Associate professional and technical occupations,No qualifications
2011,North East,E12000001,1482,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,North West,E12000002,3963,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,Yorkshire and The Humber,E12000003,3786,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,East Midlands,E12000004,2525,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,West Midlands,E12000005,3181,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,East,E12000006,4263,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,London,E12000007,4231,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,South East,E12000008,6085,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,South West,E12000009,3942,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,Wales,W92000004,1780,Age 16 to 24,3. Associate professional and technical occupations,Level 1 qualifications
2011,North East,E12000001,2900,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,North West,E12000002,8734,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,Yorkshire and The Humber,E12000003,7273,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,East Midlands,E12000004,5631,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,West Midlands,E12000005,6202,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,East,E12000006,9137,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,London,E12000007,8429,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,South East,E12000008,12807,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,South West,E12000009,8007,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,Wales,W92000004,3367,Age 16 to 24,3. Associate professional and technical occupations,Level 2 qualifications
2011,North East,E12000001,4243,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,North West,E12000002,11001,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,Yorkshire and The Humber,E12000003,9459,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,East Midlands,E12000004,7881,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,West Midlands,E12000005,8797,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,East,E12000006,11002,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,London,E12000007,13181,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,South East,E12000008,17002,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,South West,E12000009,10163,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,Wales,W92000004,4174,Age 16 to 24,3. Associate professional and technical occupations,Level 3 qualifications
2011,North East,E12000001,4096,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,North West,E12000002,13279,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,Yorkshire and The Humber,E12000003,9694,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,East Midlands,E12000004,7719,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,West Midlands,E12000005,9488,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,East,E12000006,11771,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,London,E12000007,38407,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,South East,E12000008,19427,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,South West,E12000009,9279,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,Wales,W92000004,4844,Age 16 to 24,3. Associate professional and technical occupations,Level 4 qualifications and above
2011,North East,E12000001,793,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
2011,North West,E12000002,1869,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
2011,Yorkshire and The Humber,E12000003,1969,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
